Gene/Locus,Gene/Locus_name,Gene/Locus_MIM_number,Phenotype,Phenotype_MIM_number,Inheritance,Comments,Gene
"GNA11, HHC2, HYPOC2","Guanine nucleotide-binding protein, Gq class, GNA11",139313,"Hypocalciuric hypercalcemia, type II",145981,AD,-,GNA11
"GIPC3, DFNB15, DFNB72, DFNB95",GAIP C-terminus-interacting protein 3,608792,"Deafness, autosomal recessive 15",601869,AR,-,GIPC3
"TBXA2R, BDPLT13",Thromboxane A2 receptor,188070,"{Bleeding disorder, platelet-type, 13, susceptibility to}",614009,AD,-,TBXA2R
"PIP5K1C, LCCS3","Phosphatidylinositol-4-phosphate 5-kinase, type I, gamma",606102,Lethal congenital contractural syndrome 3,611369,AR,-,PIP5K1C
"RAX2, RAXL1, QRX, CORD11, ARMD6",Retina and anterior neural fold homeobox 2,610362,"?Macular degeneration, age-related, 6",613757,-,mutation identified in 1 ARMD6 patient,RAX2
"RAX2, RAXL1, QRX, CORD11, ARMD6",Retina and anterior neural fold homeobox 2,610362,Cone-rod dystrophy 11,610381,AD,-,RAX2
"ATCAY, CLAC, KIAA1872",Caytaxin,608179,"Ataxia, cerebellar, Cayman type",601238,AR,-,ATCAY
"EEF2, EF2, SCA26",Eukaryotic translation elongation factor-2,130610,?Spinocerebellar ataxia 26,609306,AD,mutation identified in 1 family,EEF2
"MAP2K2, PRKMK2, MEK2, MKK2, CFC4",Mitogen-activated protein kinase kinase 2,601263,Cardiofaciocutaneous syndrome 4,615280,-,previously assigned to 7q32,MAP2K2
"SH3GL1, EEN",SH3 domain GRB2-like 1 (Extra 11-19 leukemia fusion gene),601768,"Leukemia, acute myeloid",601626,AD,-,SH3GL1
"TICAM1, TRIF, IIAE6",TIR domain-containing adaptor molecule 1,607601,"{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 6}",614850,-,-,TICAM1
"LONP1, PRSS15, LON, CODASS","lon peptidase 1, mitochondrial",605490,CODAS syndrome,600373,AR,-,LONP1
FUT6,"Fucosyltransferase 6 (alpha (1,3) fucosyltransferase)",136836,Fucosyltransferase 6 deficiency,613852,-,"in cluster with FUT3, FUT5",FUT6
NDUFA11,"NADH-dehydrogenase 1 alpha subcomplex, 11",612638,Mitochondrial complex I deficiency,252010,"XLD,Mi,AR",-,NDUFA11
"CLPP, PRLTS3, DFNB81","ATP-dependent protease ClpAP, E. coli, proteolytic subunit, homolog of",601119,Perrault syndrome 3,614129,AR,-,CLPP
"TUBB4A, DYT4, HLD6","Tubulin, beta-4A",602662,"Dystonia 4, torsion, autosomal dominant",128101,AD,-,TUBB4A
"TUBB4A, DYT4, HLD6","Tubulin, beta-4A",602662,"Leukodystrophy, hypomyelinating, 6",612438,AD,-,TUBB4A
"C3, ARMD9, AHUS5",Complement component-3,120700,C3 deficiency,613779,AR,LE ~7cM in males vs. C3 RFLP,C3
"C3, ARMD9, AHUS5",Complement component-3,120700,"{Hemolytic uremic syndrome, atypical, susceptibility to, 5}",612925,AD,-,C3
"C3, ARMD9, AHUS5",Complement component-3,120700,"{Macular degeneration, age-related, 9}",611378,-,-,C3
"INSR, HHF5",Insulin receptor,147670,"Diabetes mellitus, insulin-resistant, with acanthosis nigricans",610549,-,1 gene for alpha and beta subunits,INSR
"INSR, HHF5",Insulin receptor,147670,"Hyperinsulinemic hypoglycemia, familial, 5",609968,AD,-,INSR
"INSR, HHF5",Insulin receptor,147670,Leprechaunism,246200,AR,-,INSR
"INSR, HHF5",Insulin receptor,147670,Rabson-Mendenhall syndrome,262190,AR,-,INSR
"ARHGEF18, KIAA0521, RP78",Rho guanine nucleotide exchange factor 18,616432,Retinitis pigmentosa 78,617433,AR,-,ARHGEF18
"MCOLN1, ML4",Mucolipin 1,605248,Mucolipidosis IV,252650,AR,-,MCOLN1
"PNPLA6, NTE, SPG39, NTEMND, BNHS, LNMS, OMCS",Patatin-like phospholipase domain-containing protein 6,603197,?Laurence-Moon syndrome,245800,AR,mutation identified in 1 LMNS family,PNPLA6
"PNPLA6, NTE, SPG39, NTEMND, BNHS, LNMS, OMCS",Patatin-like phospholipase domain-containing protein 6,603197,Boucher-Neuhauser syndrome,215470,AR,-,PNPLA6
"PNPLA6, NTE, SPG39, NTEMND, BNHS, LNMS, OMCS",Patatin-like phospholipase domain-containing protein 6,603197,Oliver-McFarlane syndrome,275400,AR,-,PNPLA6
"PNPLA6, NTE, SPG39, NTEMND, BNHS, LNMS, OMCS",Patatin-like phospholipase domain-containing protein 6,603197,"Spastic paraplegia 39, autosomal recessive",612020,AR,-,PNPLA6
"PET100, C19orf79","PET100, S. cerevisiae, homolog of",614770,Mitochondrial complex IV deficiency,220110,"Mi,AR",-,PET100
"STXBP2, UNC18B, FHL5",Syntaxin binding protein 2,601717,"Hemophagocytic lymphohistiocytosis, familial, 5",613101,-,-,STXBP2
"RETN, RSTN, FIZZ3",Resistin,605565,"{Diabetes mellitus, noninsulin-dependent, susceptibility to}",125853,AD,-,RETN
"RETN, RSTN, FIZZ3",Resistin,605565,"{Hypertension, insulin resistance-related, susceptibility to}",125853,AD,-,RETN
"CD209, CDSIGN",CD209 antigen,604672,"{Dengue fever, protection against}",614371,-,-,CD209
"CD209, CDSIGN",CD209 antigen,604672,"{HIV type 1, susceptibility to}",609423,-,-,CD209
"CD209, CDSIGN",CD209 antigen,604672,"{Mycobacterium tuberculosis, susceptibility to}",607948,-,-,CD209
"CD320, 8D6, 8D6A, TCBLR",CD320 molecule,606475,"Methylmalonic aciduria, transient, due to transcobalamin receptor defect",613646,-,-,CD320
"RPS28, DBA15",Ribosomal protein S28,603685,Diamond Blackfan anemia 15 with mandibulofacial dysostosis,606164,AD,-,RPS28
"ANGPTL4, PGAR, HFARP, FIAF, TGQTL",Angiopoietin-like 4,605910,"Plasma triglyceride level QTL, low",615881,AD,-,ANGPTL4
"RAB11B, NDAGSCW",Ras-associated protein RAB11B,604198,"Neurodevelopmental disorder with ataxic gait, absent speech, and decreased cortical white matter",617807,-,-,RAB11B
"ADAMTS10, WMS1","A disintegrin-like and metalloproteinase with thrombospondin type 1 motif, 10",608990,"Weill-Marchesani syndrome 1, recessive",277600,AR,-,ADAMTS10
"DNMT1, MCMT, HSN1E, ADCADN",DNA methyltransferase 1,126375,"Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant",604121,AD,-,DNMT1
"DNMT1, MCMT, HSN1E, ADCADN",DNA methyltransferase 1,126375,"Neuropathy, hereditary sensory, type IE",614116,AD,-,DNMT1
"S1PR2, EDG5, DFNB68",Sphingosine-1-phosphate receptor 2,605111,"Deafness, autosomal recessive 68",610419,AR,-,S1PR2
ICAM1,Intercellular adhesion molecule-1,147840,"{Malaria, cerebral, susceptibility to}",611162,-,close to Ldlr in mouse,ICAM1
"ICAM4, CD242, LW",Intracellular adhesion molecule 4,614088,"[Blood group, Landsteiner-Wiener]",111250,-,"close to C3, LU",ICAM4
"TYK2, IMD35",Tyrosine kinase 2,176941,Immunodeficiency 35,611521,AR,-,TYK2
"DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5",Dynamin-2,602378,Centronuclear myopathy 1,160150,AD,1 LCCS5 family identified with mutation,DNM2
"DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5",Dynamin-2,602378,"Charcot-Marie-Tooth disease, axonal type 2M",606482,AD,-,DNM2
"DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5",Dynamin-2,602378,"Charcot-Marie-Tooth disease, dominant intermediate B",606482,AD,-,DNM2
"DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5",Dynamin-2,602378,Lethal congenital contracture syndrome 5,615368,AR,-,DNM2
"SMARCA4, BRG1, RTPS2, MRD16, CSS4","SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily A, member 4",603254,Coffin-Siris syndrome 4,614609,AD,-,SMARCA4
"SMARCA4, BRG1, RTPS2, MRD16, CSS4","SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily A, member 4",603254,{Rhabdoid tumor predisposition syndrome 2},613325,AD,-,SMARCA4
"LDLR, FHC, FH, LDLCQ2",Low density lipoprotein receptor,606945,"Hypercholesterolemia, familial",143890,AD,~20cM distal to C3,LDLR
"LDLR, FHC, FH, LDLCQ2",Low density lipoprotein receptor,606945,LDL cholesterol level QTL2,143890,AD,-,LDLR
"KANK2, ANKRD25, KIAA1518, PPKWH, NPHS16",KN motif- and ankyrin repeat domain-containing protein 2,614610,Nephrotic syndrome 16,617783,AR,-,KANK2
"KANK2, ANKRD25, KIAA1518, PPKWH, NPHS16",KN motif- and ankyrin repeat domain-containing protein 2,614610,Palmoplantar keratoderma and woolly hair,616099,AR,-,KANK2
"DOCK6, KIAA1395, AOS2",Dedicator of cytokinesis 6,614194,Adams-Oliver syndrome 2,614219,AR,-,DOCK6
EPOR,Erythropoietin receptor,133171,"[Erythrocytosis, familial, 1]",133100,AD,-,EPOR
"CCDC151, CILD30",Coiled-coil domain-containing protein 151,615956,"Ciliary dyskinesia, primary, 30",616037,AR,-,CCDC151
"PRKCSH, G19P1, PCLD1",Protein kinase C substrate 80K-H,177060,Polycystic liver disease 1,174050,AD,-,PRKCSH
"ACP5, SPENCDI","Acid phosphatase 5, tartrate resistant",171640,Spondyloenchondrodysplasia with immune dysregulation,607944,AR,incorrectly assigned to 15 by A,ACP5
"DEL19p13.13, C19DELp13.13, DUP19p13.13, C19DUPp13.13",Chromosome 19p13.13 deletion syndrome (Chromosome 19p13.13 duplication syndrome),613638,Chromosome 19p13.13 deletion syndrome,613638,-,contiguous gene syndrome,DEL19p13.13
"DEL19p13.13, C19DELp13.13, DUP19p13.13, C19DUPp13.13",Chromosome 19p13.13 deletion syndrome (Chromosome 19p13.13 duplication syndrome),613638,Chromosome 19p13.13 duplication syndrome,613638,-,-,DEL19p13.13
"MAN2B1, MANB","Mannosidase, alpha, class 2B, member 1",609458,"Mannosidosis, alpha-, types I and II",248500,AR,-,MAN2B1
"RNASEH2A, RNHIA, AGS4","Ribonuclease H2, large subunit",606034,Aicardi-Goutieres syndrome 4,610333,AR,-,RNASEH2A
"KLF1, EKLF, INLU, HBFQTL6, CDAN4","Kruppel-like factor 1, erythroid",600599,Blood group--Lutheran inhibitor,111150,-,-,KLF1
"KLF1, EKLF, INLU, HBFQTL6, CDAN4","Kruppel-like factor 1, erythroid",600599,"Dyserythropoietic anemia, congenital, type IV",613673,AD,-,KLF1
"KLF1, EKLF, INLU, HBFQTL6, CDAN4","Kruppel-like factor 1, erythroid",600599,[Hereditary persistence of fetal hemoglobin],613566,-,-,KLF1
GCDH,Glutaryl-Coenzyme A dehydrogenase,608801,"Glutaricaciduria, type I",231670,AR,-,GCDH
"CALR, SSA",Sicca syndrome antigen A (autoantigen Ro; calreticulin),109091,"Myelofibrosis, somatic",254450,-,"distal to C3, near LDLR",CALR
"CALR, SSA",Sicca syndrome antigen A (autoantigen Ro; calreticulin),109091,"Thrombocythemia, somatic",187950,-,-,CALR
"NFIX, NF1A, SOTOS2, MRSHSS",Nuclear factor I/X (CCAAT-binding transcription factor),164005,Marshall-Smith syndrome,602535,AD,-,NFIX
"NFIX, NF1A, SOTOS2, MRSHSS",Nuclear factor I/X (CCAAT-binding transcription factor),164005,Sotos syndrome 2,614753,AD,-,NFIX
"NACC1, BTBD14B, NECFM","Nucleus accumbens-associated protein 1, BEN and BTB/POZ domains-containing",610672,"Neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination",617393,AD,-,NACC1
"CACNA1A, CACNL1A4, SCA6, EIEE42","Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",601011,"Epileptic encephalopathy, early infantile, 42",617106,AD,-,CACNA1A
"CACNA1A, CACNL1A4, SCA6, EIEE42","Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",601011,"Episodic ataxia, type 2",108500,AD,-,CACNA1A
"CACNA1A, CACNL1A4, SCA6, EIEE42","Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",601011,"Migraine, familial hemiplegic, 1",141500,AD,-,CACNA1A
"CACNA1A, CACNL1A4, SCA6, EIEE42","Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",601011,"Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia",141500,AD,-,CACNA1A
"CACNA1A, CACNL1A4, SCA6, EIEE42","Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",601011,Spinocerebellar ataxia 6,183086,AD,-,CACNA1A
"CC2D1A, MRT3",Coiled-coil and C2 domain-containing 1A,610055,"Mental retardation, autosomal recessive 3",608443,AR,-,CC2D1A
PRKACA,"Protein kinase, cAMP-dependent, catalytic, alpha",601639,"Cushing syndrome, ACTH-independent adrenal, somatic",615830,-,-,PRKACA
"TECR, GPSN2, TER, SC2, MRT14","Trans-2,3-enoyl-CoA reductase",610057,"Mental retardation, autosomal recessive 14",614020,AR,-,TECR
"ADGRE2, EMR2, VBU",Adhesion G protein-coupled receptor E2,606100,Vibratory urticaria,125630,AD,-,ADGRE2
"CASP14, ARCI12","Caspase 14, apoptosis-related cysteine protease",605848,"Ichthyosis, congenital, autosomal recessive 12",617320,AR,-,CASP14
"NOTCH3, CADASIL1, CASIL, IMF2, LMNS","Notch, Drosophila, homolog of, 3",600276,"?Myofibromatosis, infantile 2",615293,AD,mutation identified in 1 IMF2 family,NOTCH3
"NOTCH3, CADASIL1, CASIL, IMF2, LMNS","Notch, Drosophila, homolog of, 3",600276,Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy 1,125310,AD,-,NOTCH3
"NOTCH3, CADASIL1, CASIL, IMF2, LMNS","Notch, Drosophila, homolog of, 3",600276,Lateral meningocele syndrome,130720,AD,-,NOTCH3
"CYP4F22, ARCI5, LI3","Cytochrome P450, family 4, subfamily F, polypeptide 22",611495,"Ichthyosis, congenital, autosomal recessive 5",604777,AR,-,CYP4F22
"CALR3, CRT2, CMH19",Calreticulin 3,611414,"?Cardiomyopathy, hypertrophic, 19",613875,AD,mutation identified in 1 CMH19 patient,CALR3
"CPAMD8, KIAA1283, ASGD8",Complement component 3- and pregnancy zone protein-like alpha-2-macroglobin domain-containing protein 8,608841,Anterior segment dysgenesis 8,617319,AR,-,CPAMD8
"MYO9B, MYR5, CELIAC4",Myosin IXB,602129,"{Celiac disease, susceptibility to, 4}",609753,-,-,MYO9B
"GTPBP3, MSS1, COXPD23",GTP-binding protein 3,608536,Combined oxidative phosphorylation deficiency 23,616198,AR,-,GTPBP3
INSL3,"Insulin-like 3, Leydig cell",146738,Cryptorchidism,219050,AD,-,INSL3
"JAK3, JAKL","Janus kinase 3 (Janus kinase, leukocyte)",600173,"SCID, autosomal recessive, T-negative/B-positive type",600802,AR,-,JAK3
"SLC5A5, NIS, TDH1","Solute carrier family 5 (sodium iodide symporter), member-5",601843,Thyroid dyshormonogenesis 1,274400,AR,-,SLC5A5
"IL12RB1, IMD30","Interleukin-12 receptor, beta-1",601604,Immunodeficiency 30,614891,AR,-,IL12RB1
"PIK3R2, MPPH1","Phosphatidylinositol 3-kinase, regulatory subunit 2",603157,Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1,603387,AD,-,PIK3R2
"CRLF1, CISS1",Cytokine-like factor 1,604237,Cold-induced sweating syndrome 1,272430,AR,-,CRLF1
"COMP, EDM1, MED, PSACH",Cartilage oligomeric matrix protein,600310,"Epiphyseal dysplasia, multiple, 1",132400,AD,-,COMP
"COMP, EDM1, MED, PSACH",Cartilage oligomeric matrix protein,600310,Pseudoachondroplasia,177170,AD,-,COMP
"CERS1, LASS1, UOG1, EPM8",Ceramide synthase 1,606919,"?Epilepsy, progressive myoclonic, 8",616230,AR,mutation identified in 1 EPM8 family,CERS1
"GDF1, DTGA3, DORV, RAI",Growth/differentiation factor 1,602880,Double-outlet right ventricle,217095,-,-,GDF1
"GDF1, DTGA3, DORV, RAI",Growth/differentiation factor 1,602880,Right atrial isomerism,208530,AR,-,GDF1
"GDF1, DTGA3, DORV, RAI",Growth/differentiation factor 1,602880,Tetralogy of Fallot,187500,AD,-,GDF1
"GDF1, DTGA3, DORV, RAI",Growth/differentiation factor 1,602880,"Transposition of great arteries, dextro-looped 3",613854,AD,-,GDF1
RFXANK,"Regulatory factor X, ankyrin repeat-containing",603200,"MHC class II deficiency, complementation group B",209920,AR,-,RFXANK
"NDUFA13, GRIM19","NADH-ubiquinone oxidoreductase 1 alpha subcomplex, 13",609435,"{Thyroid carcinoma, Hurthle cell}",607464,-,-,NDUFA13
HPCQTL19,Prostate cancer aggressiveness quantitative trait locus on chromosome 19,607592,{Prostate cancer aggressiveness QTL},176807,AD,D19S902,HPCQTL19
"C19orf12, NBIA4, SPG43",Chromosome 19 open reading frame 12,614297,"?Spastic paraplegia 43, autosomal recessive",615043,AR,mutation identified in 1 SPG43 family,C19orf12
"C19orf12, NBIA4, SPG43",Chromosome 19 open reading frame 12,614297,Neurodegeneration with brain iron accumulation 4,614298,AR,-,C19orf12
"DEL19q13.11d, C19DELq13.11d","Chromosome 19q13.11 deletion syndrome, distal",613026,"Chromosome 19q13.11 deletion syndrome, distal",613026,AD,contiguous gene syndrome,DEL19q13.11d
"DEL19q13.11p, C19DELq13.11p","Chromosome 19q13.11 deletion syndrome, proximal",617219,"Chromosome 19q13.11 deletion syndrome, proximal",617219,AD,-,DEL19q13.11p
"RGS9BP, R9AP, RGS9, PERRS",Regulator of G protein signaling 9-binding protein,607814,Bradyopsia,608415,-,-,RGS9BP
"SLC7A9, CSNU3","Solute carrier family 7 (cationic amino acid transporter, y+ system), member 9",604144,Cystinuria,220100,"AD,AR",-,SLC7A9
"CEBPA, CEBP","CCAAT/enhancer-binding protein (C/EBP), alpha",116897,"?Leukemia, acute myeloid",601626,AD,germline mutation identified in 1 AML family,CEBPA
"CEBPA, CEBP","CCAAT/enhancer-binding protein (C/EBP), alpha",116897,"Leukemia, acute myeloid, somatic",601626,-,-,CEBPA
PEPD,Peptidase D (prolidase),613230,Prolidase deficiency,170100,AR,closely linked to APOC2,PEPD
"CHST8, GALNAC4ST1, PSS3",Carbohydrate sulfotransferase 8,610190,?Peeling skin syndrome 3,616265,AR,mutation has been identified in 1 PSS3 family,CHST8
GPI,Glucose phosphate isomerase; neuroleukin,172400,"Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency",613470,AR,-,GPI
"SCN1B, GEFSP1, BRGDA5, ATFB13, EIEE52","Sodium channel, voltage-gated, type I, beta polypeptide",600235,"Atrial fibrillation, familial, 13",615377,AD,-,SCN1B
"SCN1B, GEFSP1, BRGDA5, ATFB13, EIEE52","Sodium channel, voltage-gated, type I, beta polypeptide",600235,Brugada syndrome 5,612838,-,-,SCN1B
"SCN1B, GEFSP1, BRGDA5, ATFB13, EIEE52","Sodium channel, voltage-gated, type I, beta polypeptide",600235,"Cardiac conduction defect, nonspecific",612838,-,-,SCN1B
"SCN1B, GEFSP1, BRGDA5, ATFB13, EIEE52","Sodium channel, voltage-gated, type I, beta polypeptide",600235,"Epilepsy, generalized, with febrile seizures plus, type 1",604233,AD,-,SCN1B
"SCN1B, GEFSP1, BRGDA5, ATFB13, EIEE52","Sodium channel, voltage-gated, type I, beta polypeptide",600235,"Epileptic encephalopathy, early infantile, 52",617350,AR,-,SCN1B
"LGI4, AMCNMY","Leucine-rich gene, glioma-inactivated, 4",608303,"Arthrogryposis multiplex congenita, neurogenic, with myelin defect",617468,AR,-,LGI4
"HAMP, LEAP1, HEPC, HFE2B",Hepcidin antimicrobial peptide,606464,"Hemochromatosis, type 2B",613313,AR,digenic form with HAMP and HFE mutations,HAMP
"MAG, GMA, SPG75",Myelin-associated glycoprotein,159460,"Spastic paraplegia 75, autosomal recessive",616680,AR,-,MAG
COX6B1,"Cytochrome c oxidase, subunit VIb polypeptide 1 (ubiquitous)",124089,Mitochondrial complex IV deficiency,220110,"Mi,AR",-,COX6B1
"KMT2B, MLL4, KIAA0304, DYT28",Lysine (K)-specific methyltransferase 2B,606834,"Dystonia 28, childhood-onset",617284,AD,-,KMT2B
"PSENEN, PEN2, ACNINV2","Presenilin enhancer 2, C. elegans, homolog of",607632,"Acne inversa, familial, 2, with or without Dowling-Degos disease",613736,AD,-,PSENEN
"NPHS1, NPHN",Nephrin,602716,"Nephrotic syndrome, type 1",256300,AR,-,NPHS1
"TYROBP, PLOSL, DAP12",TYRO protein tyrosine kinase-binding protein,604142,Nasu-Hakola disease,221770,AR,-,TYROBP
SDHAF1,Succinate dehydrogenase complex assembly factor 1,612848,Mitochondrial complex II deficiency,252011,AR,-,SDHAF1
"SYNE4, NESP4, C19orf46, DFNB76",Spectrin repeat-containing nuclear envelope protein 4,615535,"Deafness, autosomal recessive 76",615540,AR,-,SYNE4
"WDR62, C19orf14, MCPH2",WD repeat-containing protein 62,613583,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",604317,AR,-,WDR62
"SIPA1L3, SPAL3, SPAR3, KIAA0545, CTRCT45",SIPA1-like protein 3,616655,?Cataract 45,616851,AR,mutation identified in 1 CTRCT45 family,SIPA1L3
"SPINT2, HAI2, DIAR3","Serine protease inhibitor, Kunitz-type, 2 (hepatocyte growth factor activator inhibitor 2; bikunin, placental)",605124,"Diarrhea 3, secretory sodium, congenital, syndromic",270420,AR,-,SPINT2
"RYR1, MHS, CCO","Ryanodine receptor-1, skeletal",180901,Central core disease,117000,"AD,AR",-,RYR1
"RYR1, MHS, CCO","Ryanodine receptor-1, skeletal",180901,King-Denborough syndrome,145600,AD,-,RYR1
"RYR1, MHS, CCO","Ryanodine receptor-1, skeletal",180901,Minicore myopathy with external ophthalmoplegia,255320,AR,-,RYR1
"RYR1, MHS, CCO","Ryanodine receptor-1, skeletal",180901,"Neuromuscular disease, congenital, with uniform type 1 fiber",117000,"AD,AR",-,RYR1
"RYR1, MHS, CCO","Ryanodine receptor-1, skeletal",180901,{Malignant hyperthermia susceptibility 1},145600,AD,-,RYR1
"ACTN4, FSGS1, FSGS","Actinin, alpha-4",604638,"Glomerulosclerosis, focal segmental, 1",603278,AD,-,ACTN4
SARS2,Seryl-tRNA synthetase 2,612804,"Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis",613845,AR,-,SARS2
"IFNL3, IL28B","Interferon, lambda 3",607402,"{Hepatitis C virus infection, response to therapy of}",609532,-,-,IFNL3
"PLEKHG2, CLG, LDAMD","Pleckstrin homology domain-containing protein, family G, member 2",611893,Leukodystrophy and acquired microcephaly with or without dystonia,616763,AR,-,PLEKHG2
"TIMM50, TIM50, MGCA9","Translocase of inner mitochondrial membrane 50, yeast, homolog of",607381,"3-methylglutaconic aciduria, type IX",617698,AR,-,TIMM50
"DLL3, SCDO1","Delta, Drosophila, homolog of",602768,"Spondylocostal dysostosis 1, autosomal recessive",277300,AR,-,DLL3
"DYRK1B, MIRK, AOMS3",Dual-specificity tyrosine phosphorylation-regulated kinase 1B,604556,Abdominal obesity-metabolic syndrome 3,615812,AD,-,DYRK1B
"AKT2, HIHGHH",Murine thymoma viral (v-akt) homolog-2,164731,"Diabetes mellitus, type II",125853,AD,-,AKT2
"AKT2, HIHGHH",Murine thymoma viral (v-akt) homolog-2,164731,Hypoinsulinemic hypoglycemia with hemihypertrophy,240900,AD,-,AKT2
